VarName,TimeString,VarValue,Validity,Time_ms
Production - System fault - color change - standby,19/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/03/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/04/2021 03:59,50.4,1,1,2.4
Production - System fault - color change - standby,08/04/2021 13:59,10.4,1,1,2.4
Production - System fault - color change - standby,08/04/2021 23:59,100.4,1,1,2.4
Production - System fault - color change - standby,09/04/2021 01:18,0.7,1,1,2.4
Production - System fault - color change - standby,09/04/2021 07:58,0.7,1,1,2.4
Production - System fault - color change - standby,09/04/2021 09:58,0.7,1,1,2.4
Production - System fault - color change - standby,09/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/04/2021 23:58,8.4,1,1,2.4
Production - System fault - color change - standby,11/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/04/2021 23:58,15.4,1,1,2.4
Production - System fault - color change - standby,12/04/2021 23:58,51.4,1,1,2.4
Production - System fault - color change - standby,13/04/2021 03:58,51.4,1,1,2.4
Production - System fault - color change - standby,13/04/2021 13:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/04/2021 23:58,31.4,1,1,2.4
Production - System fault - color change - standby,14/04/2021 13:58,19.7,1,1,2.4
Production - System fault - color change - standby,14/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/04/2021 14:58,41.4,1,1,2.4
Production - System fault - color change - standby,15/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/04/2021 19:18,19.4,1,1,2.4
Production - System fault - color change - standby,16/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/04/2021 07:18,1.8,1,1,2.4
Production - System fault - color change - standby,22/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/04/2021 23:58,2.8,1,1,2.4
Production - System fault - color change - standby,29/04/2021 23:58,1.8,3,1,6
Production - System fault - color change - standby,30/04/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/05/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/06/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/07/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/08/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/09/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/10/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/11/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/12/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/12/2021 23:58,1.8,1,1,2.4
